,0,1
0,sad,-19.928483163811965
1,miss,-12.939982938874182
2,poor,-12.3029989899526
3,sick,-11.74691185790142
4,missing,-11.392453582025551
5,sadly,-11.104692688317787
6,unfortunately,-10.312627847270342
7,not happy,-10.298941750766875
8,sucks,-10.136685991750301
9,died,-9.656878896538178
10,wish,-9.587132984230042
11,rip,-9.451750450325902
12,bummed,-9.336872783668062
13,hurts,-9.322364917419932
14,hate,-9.235652421596917
15,headache,-9.144393829015115
16,missed,-8.991042808673619
17,disappointed,-8.972775342088392
18,not good,-8.896669543604515
19,bummer,-8.724066733042765
