,0,1,2,3
0,  Storm   bad I'm very very sad.   sad   lightning   thunder   angry ,Negative,0.9997571455357088,"[('Negative', 0.99975714553570882), ('', 0.00024285446429121941)]"
1,Can't go to the beach when it's pouring.    canceled   hurricane   floridalife   beachdaynomore   sad,Negative,0.9991115781136186,"[('Negative', 0.99911157811361861), ('', 0.00088842188638136969)]"
2,Heartbreaking tragedy yet again for   Haiti   HurricaneMatthew   Hurricane   sad   recoveryispossible  TourismHaiti   WeatherNOW   Damages,Negative,0.9982666095743997,"[('Negative', 0.99826660957439972), ('', 0.0017333904256003206)]"
3,Very sad to hear of man who died in Oxford   flood. Went past Osney Lock earlier and river was wild.   RIP,Negative,0.9978691410251191,"[('Negative', 0.99786914102511914), ('', 0.0021308589748808763)]"
4,PittieLover73 Retweeted PittieLover73This got me so upset   shockHurricaneMatthew  Devastation  i95accident   southcarolina   horrific   hurricane   statistic   sad   tractortrailer,Negative,0.997273614556614,"[('Negative', 0.99727361455661401), ('', 0.0027263854433860137)]"
5,Saddened after listening the news.More than 70 died after heavy rain n   Flood in   IndianGujrat   RIP effecties may Allah help u  PakWithIndia,Negative,0.9954868839646992,"[('Negative', 0.9954868839646992), ('', 0.0045131160353007529)]"
6,Pray for Oklahoma..   oklahoma   pray   usa   tornado   hurricane   sad   instadaily,Negative,0.9951259137883216,"[('Negative', 0.9951259137883216), ('', 0.0048740862116784193)]"
7,I hear thunder but there's no rain... It's really scaring me... Oh god.  Thunder  hurricane  bad…,Negative,0.9944749924587032,"[('Negative', 0.99447499245870319), ('', 0.0055250075412968287)]"
8,"Still hate the sea
 umi  tsunami  rip  monday   Hikkaduwa ",Negative,0.9943066684902451,"[('Negative', 0.99430666849024507), ('', 0.0056933315097548974)]"
9,"It's a pity! A   fishfarmer committed   suicide as a result of the loss of $120,602 he incurred due to d   flood that swept all his   fish.   RIP",Negative,0.9932919281360293,"[('Negative', 0.99329192813602929), ('', 0.006708071863970759)]"
10,Cross finger for Florida and the poor islands !!!! :/  hurricane   shit   fear   sad,Negative,0.9930189310107541,"[('Negative', 0.99301893101075411), ('', 0.0069810689892458502)]"
11,"Australia is sinking... 8 dead confirmed, 72 missing with the   flood crisis in Queensland   RIP",Negative,0.9926717358659245,"[('Negative', 0.9926717358659245), ('', 0.007328264134075467)]"
